N,Description,Status,Title,Abstract
38,Lessons learned focused on QA of a mobile game development,ACCEPTED,A comprehensive approach to quality assurance in a mobile game project,"Quality assurance is an integral part of software development process. Game projects possess own distinctive traits that affect all stages of work. In this paper, we share the lessons learned during a three year-long mobile game development project. We discuss the conceptual architecture for mobile game quality assurance through the perspective of techniques that turned out to be most efficient for us, including manual testing, automated and manual runtime bug reporting, Crashlytics-supported crash analysis, automated smoke testing, and playtesting. We analyze how these activities address typical game-specific mobile development and testing issues, and why they can be recommended for game projects, as well as for wider range of mobile applications. © 2018 Association for Computing Machinery."
56,Using a model-driven approach to build multiplatform games. Not sure if has something about testing.,ACCEPTED,A model-driven approach to generate and deploy videogames on multiple platforms,"Currently, videogame development for mobile devices is a highly profitable and competitive industry worldwide. This profitability can be ascribed to the popularity that new technologies such as smartphones and tablets have acquired over the last few years. To increase competitiveness, we use a model driven engineering (MDE) approach to develop multi-platform videogames in a quick and easy manner. MDE helps us to reduce the number of errors, the amount of time required and the development costs and favors a productivity increment. The aim of this work is to present an approach for the agile development of multi-platform videogames by using high-level abstraction models. We offer a feasible solution supported by a tool that allows the development of videogames in a simple and agile way. An empirical validation is presented through a use case where the viability of our approach is shown in comparison with that of other tools. Finally, a survey shows the users' perception of the solution with the objective of validating the use case results. The given use case indicates that our approach is suitable for improving videogame development. The survey indicates that users think that it is possible to model videogames and generate the corresponding applications with our approach."
479,"Not related to game development, but they are assessing open source games and estimating their size. Might be interesting.",ACCEPTED,A Size Estimation Model for Board-Based Desktop Games,"Software size estimation plays a key role in the planning of projects at the time of project inception. This paper describes the derivation, validation, and usage of a parametric model meant for estimating the size of board-based desktop games. This model is derived using forward stepwise multiple linear regression on a data set comprising over 60 open source board-based games collected from multiple open source repositories. A variety of prediction accuracy metrics (e.g., MMRE, PRED(x), MdMRE, and so on) are used to assess this model and K-fold cross-validation is used to validate this model. Model assessment and validation exercises yield promising results. The utility of this model is demonstrated by presenting a worked-out game size estimation example followed by some size-related what-if analyses. © 2013 IEEE."
62,Introduce a process for VV&A for military training games.,ACCEPTED,"A Verification, Validation and Accreditation Framework of Military Training Games","Military training games(MTGs) have been used more and more widely within armed forces all around the world. In contrast to the commercial games, military training is the primary goal of the MTGs rather than entertainment. The application of game within the military training domain brings with it an inherent risk associated with the danger of developing erroneous or unsuitable games and thus may transform erroneous knowledge to the trainees while using the game in the military training. Aiming at this problem, this paper introduced verification, validation and accreditation (VV&A) into the MTG design and development process. By introducing VV&A into the MTG design and development process, the errors which may hidden in the intermediate products such as sponsor needs, MTG requirements specification, MTG design document, ESC can be detected. The MTG accreditation assessment influence factors and the standard accreditation decision options are also put forward in this paper. The intended object of introducing VV&A into the MTG design and development is to ensure that only correct and suitable MTG games are developed for the military training use."
480,New approach for incomplete games. Need investigation.,ACCEPTED,Abstraction refinement for games with incomplete information,"Counterexample-guided abstraction refinement (CEGAR) is used in automated software analysis to find suitable finite-state abstractions of infinite-state systems. In this paper, we extend CEGAR to games with incomplete information, as they commonly occur in controller synthesis and modular verification. The challenge is that, under incomplete information, one must carefully account for the knowledge available to the player: the strategy must not depend on information the player cannot see. We propose an abstraction mechanism for games under incomplete information that incorporates the approximation of the players' moves into a knowledge-based subset construction on the abstract state space. This abstraction results in a perfect-information game over a finite graph. The concretizability of abstract strategies can be encoded as the satisfiability of strategy-tree formulas. Based on this encoding, we present an interpolation-based approach for selecting new predicates and provide sufficient conditions for the termination of the resulting refinement loop. © Dimitrova, Finkbeiner."
81,Approach to predict/measure the difficulty of the game on-the-fly,ACCEPTED,An evaluation of difficulty heuristics in game design using simulated player,"In this paper we present our research in the area of au-thoring tools development. The over arching goal of this work is to provide mechanisms that can be used to measure the design characteristics of games. We aim to develop a framework that can offer designers ongoing informative feedback on the difficulty of a level as they build prototypes, thus allowing them to gauge their designs. We outline a number of measures, which we hypothesise can be useful in predicting the difficulty of a level. In this work we present details of our exemplar game, and the reasons for choosing it as our test bed. We incorporate a naive strategy for simulating a player's performance in any given instance of this game. In order to verify the usefulness of our measures, we undertake an extensive set of experiments using this simulated player. We present the results illustrating the relationship between our measures and the performance of the simulated player. © 2010 EUROSIS-ETI."
82,Experimental study to check the responsiveness and fault tolerance of mobile applications.,ACCEPTED,An Experimental Study on Robustness and Responsiveness Testing of Iranian Android Games,"During the last decade, many Iranian software and game developers have targeted Android as their main development framework, resulting in the availability of a large number of Android applications. Despite the opportunities that Android provides for application developers, it introduces new challenges for the development of high quality applications. In this paper, we have focused on responsiveness and fault-tolerance as two interesting quality attributes of Android applications, lack of which might result in users' dissatisfaction and leaving the application. Hence, we have conducted an experimental study, using monkey testing technique, on a set of Iranian Android games to assess their robustness and responsiveness. The results demonstrate that much more attention needs to be paid by Iranian Android developers to the responsiveness and fault-tolerance of their applications, since about 85% of the analyzed games have shown to have at least one responsiveness or robustness error."
90,Issues of requirements and testing in game development according to S.E.,ACCEPTED,Application of Volere shells as a principled approach to requirements capture and test planning for computer games,"Software Engineering is an issue of increasing importance to the games industry. This paper looks at the linked issues of requirements capture and testing, and argues that an adaptation of a modern requirements method - Volere Shells - is potentially useful to games developers as a lightweight but principled approach to addressing these issues. A simple case study will be used to illustrate the points made in this paper."
96,Methods to analyze player and AI behaviour,ACCEPTED,Believability assessment for fighting game AI,"We describe two methods of analyzing human and AI play style patterns in an arcade fighting game. The first is the application of a Turing test to study game characters' behavior. The second is the calculation of a cosine similarity between 'behavior fingerprints' consisting of sequences of individual actions or combo chains. The main goal of this study is aimed to find an approach that helps to determine the believability of game AI. Our experiments with Universal Fighting Engine environment and its built-in AI system demonstrated that both people and AI agents exhibit different play styles, and AI agents are virtually indistinguishable from human-controlled characters. © 2017 EUROSIS. All rights reserved."
131,Survey about differences on SE and GameDev. ,ACCEPTED,"Cowboys, ankle sprains, and keepers of quality: How is video game development different from software development?","Video games make up an important part of the software industry, yet the software engineering community rarely studies video games. This imbalance is a problem if video game development differs from general software development, as some game experts suggest. In this paper we describe a study with 14 interviewees and 364 survey respondents. The study elicited substantial differences between video game development and other software development. For example, in game development, cowboy coders are necessary to cope with the continuous interplay between creative desires and technical constraints. Consequently, game developers are hesitant to use automated testing because of these tests rapid obsolescence in the face of shifting creative desires of game designers. These differences between game and non-game development have implications for research, industry, and practice. For instance, as a starting point for impacting game development, researchers could create testing tools that enable game developers to create tests that assert flexible behavior with little up-front investment. © 2014 ACM."
488,Framework for automating testing in games,ACCEPTED,Crushinator: A framework towards game-independent testing,Testing game applications relies heavily on beta testing methods. The effectiveness of beta testing depends on how well beta testers represent the common game-application users and if users are willing to participate in the beta test. An automated testing tool framework could reduce the dependence upon beta testing by most companies to analyze their game applications. This paper presents the Crushinator as one such framework. This framework provides a game-independent testing tool that implements multiple testing methods that can assist and possibly replace the use of beta testing. © 2013 IEEE.
133,Reasoning about game's data.,ACCEPTED,Data analytics for game development (NIER track),"The software engineering community has had seminal papers on data analysis for software productivity, quality, reliability, performance etc. Analyses have involved software systems ranging from desktop software to telecommunication switching systems. Little work has been done on the emerging digital game industry. In this paper we explore how data can drive game design and production decisions in game development. We define a mixture of qualitative and quantitative data sources, broken down into three broad categories: internal testing, external testing, and subjective evaluations. We present preliminary results of a case study of how data collected from users of a released game can inform subsequent development. © 2011 ACM."
138,Teaching an AI in a fighting game,ACCEPTED,Deduction of fighting game countermeasures using Neuroevolution of Augmenting Topologies,"Nowadays artificial intelligence (AI) has been applied to many areas, including digital game with various genres. One of them is the fighting game. Implementation of AI in the fighting game aims to make players who are not constrained by the limiting factors which humans possess, such as speed of reflexes and hand gestures. One platform that can be used to make fighting game AI is FightingICE. This platform is official platform used in Computational Intelligence and Games (CIG) conference. One approach that can be used in the process of building the AI in the fighting game is opponent modeling, a method that utilize machine learning to make model based on the behavior of the opponent. There is one AI that utilize k-Nearest Neighbor (kNN) algorithm called MizunoAI. This AI has outstanding performance, but it suffers from inability to adjust its parameter automatically. To solve that problem, in this paper the algorithm used for modelling is changed to Neuroevolution of Augmenting Topologies (NEAT). NEAT is an algorithm with Artificial Neural Network (ANN) as basic architecture and Genetic Algorithm (GA) as the architecture optimizer. In the implementation, NEAT will receive six inputs of distance in the x-axis and y-axis, both players' hitpoints, and both players' stamina. Output of NEAT is the probability of all movements that can be done by the opponent. The entire output will be processed by a simulator to determine the best countermeasure based on the predictions. For testing, the AI made will be faced against four AI winners of CIG 2013, namely MizunoAI, Kaiju, T, and SejongAI. The results showed that the AI is capable to do well in modeling process. Although the performance is still behind the MizunoAI, the learning process can be seen along the match. © 2016 IEEE."
490,Quality model for game prototype (mobile).,ACCEPTED,Defining usability quality metric for mobile game prototype using software attributes,"The rapid growth in the development of mobile games to serve various user needs has result in a high competition of software game development industry. Usability is a major quality of mobile game product which significantly affects the player satisfaction. The usability assessment of mobil e game product which is game prototype developed during the production is result from the need of correction in an earlier stage which may help reduction in cost and time development. This research proposes an approach to define an internal usability quality metric for a mobile game prototype developed in a design phase. The proposed metric, classified from software attributes as content, device, and gameplay is defined based on the general suggested usability metric category in ISO/IEC 9126-3 standard and derived from GQM method (Goal Question Metrics). The structure and elements of the metric description are established from the ISO/IEC 15939 standard. © 2015 IEEE."
150,Evaluating the FUN of a game to assess game design heuristics.,ACCEPTED,Designing enjoyable VI deogames: Do heuristics differentiate bad from good?,"How does one design a fun video game? One way to guide design Is through the use of heuristics. Federoff (2002) compiled a list of design heuristics based on the gaming literature and interviews with game designers. However, these heuristics were not validated. The present study attempted to validate these heuristics by having participants play either a lowly or highly rated FC game. Participants were asked to provide a rating of overall enjoyment and then rate the applicability of each heuristic. Analysis of 133 participants' ratings of overall enjoyment Indicated that non-gamers felt both games were equally enjoyable while moderate and heavy gamers found the highly rated game most enjoyable. Further analyses indicated that participants considered approximately 75% of the heuristics to be more applicable to the highly rated game than the lowly rated one. The Implications for the design of new video game heuristics are discussed."
491,Teaching an AI and assess it against human players.,ACCEPTED,Developing game AI agent behaving like human by mixing reinforcement learning and supervised learning,"Artificial intelligence (AI) agent created with Deep Q-Networks (DQN) can defeat human agents in video games. Despite its high performance, DQN often exhibits odd behaviors, which could be immersion-breaking against the purpose of creating game AI. Moreover, DQN is capable of reacting to the game environment much faster than humans, making itself invincible (thus not fun to play with) in certain types of games. On the other hand, supervised learning framework trains an AI agent using historical play data of human agents as training data. Supervised learning agent exhibits a more human-like behavior than reinforcement learning agents because of imitating training data. However, its performance is often no better than human agents. The ultimate purpose of AI agents is to entertain human players. A good performance and a humanlike behavior are important factors of the AI agents, and both of them should be achieved simultaneously. This study proposes frameworks combining reinforcement learning and supervised learning and we call then separated network model and shared network model. We evaluated their performances by the game scores and behaviors by Turing test. The experimental results demonstrate that the proposed frameworks develop an AI agent of better performance than human agent and natural behavior than reinforcement learning agents. © 2017 IEEE."
159,Software-level testing method to check the quality of the game.,ACCEPTED,Development of game testing method for measuring game quality,"The quality of game is one of the factors that may stop the release of a game. Game testing can be used to measure the game quality. Unfortunately, most game testing use user-centric approach to test the quality of the game. In this paper, we propose a game testing method, which is developed from the existing game testing approach supplemented with software testing approach to measure the game quality. The game quality was derived from software engineering quality model standards and game quality model. The proposed game testing method is applied to several case studies. The case studies have demonstrated how to assess the games in order to obtain the meaningful results. The research found that the game quality results can be used by game developers to improve the game."
183,Checking if traditional software usability heuristics works on games.,ACCEPTED,Evaluating game heuristics for measuring player experience,"Usability evaluation tools in the form of heuristic lists can be very helpful in software development. In recent years, game researchers have developed heuristics aimed at special design issues within computer game design. This article examines if these game heuristics are able to capture and evaluate softer values of computer game interaction, based on the flow, challenges and immersion of game play. The authors suggest that these softer values should be called Gameworld Interaction. An analysis of the existing game heuristics was made, resulting in a Net Heuristic list, which was then tested on a single game. The result showed both a possible gap in the heuristics, and that even though the game design did adhere to the heuristics, problems still occurred."
187,Assessing game requirements.,ACCEPTED,Experience requirements in video games: Definition and testability,"A properly formed requirement is testable, a necessity for ensuring that design goals are met. While challenging in productivity applications, entertainment applications such as games compound the problem due to their subjective nature. We report here on our efforts to create testable experience requirements, the associated scope challenges and challenges with test design and result interpretation. We further report on issues experienced when performing focus group testing and provide practitioner guidance. © 2015 IEEE."
269,Issues in mobile game development. Check testing related issues.,ACCEPTED,Issues in the development of location-based games,"As new and more powerful mobile devices arrive, such as smartphones, tablets and PDAs, so do new ways of interaction emerge for the users and developers to explore. These devices allow for the creation of never-before-seen applications, using the broad range of inputs and sensors these devices integrate (such as accelerometers, light sensors, electronic compasses, GPS sensor among others), that allow for more ubiquous and personalized experiences. This paper explores issues that arise during the development and design phases of such games, as well as posible solutions for them. Finally we present, a framework for the development of location-based games that is sensible to these issues. This framework was created and tested thanks to a proof-of-concept location-based game (Geo-Wars). © 2011 Joo Tiago Pinheiro Neto Jacob and Antnio Fernando Coelho."
291,New methodology for game development.,ACCEPTED,Multi Agent Software Engineering (MaSE) and Agile Methodology for Game Development,"Agile software development methodologies has become very common in game development methodologies. However, such methodologies must be adapted to different game genres. The purpose of this paper is to investigate the existing game development methodologies and provide a new game development methodology suitable for different game genres. Furthermore, the methodology is based on both predictive and adaptive development models. A critical analysis of Agile game development methodology is presented and we identify the weakness of the current Agile game development. The Agile Agent Game Development Methodology (AAGDM) is introduced as a new hybrid methodology linking the Agent and Agile approach to create a generic game development methodology."
306,Metrics to aid gameplay testing.,ACCEPTED,Postprocessing Gameplay Metrics for Gameplay Performance Segmentation Based on Audiovisual Analysis,"This paper introduces a new variant of gameplay metrics that further develops a set of processes that expand user-centered game testing practices capable of quantifying user experiences. The key goal of the method presented here is to widen the appeal and application of game metrics within research relevant to, and representative of the wider field of game studies. In doing so, we acknowledge that the interests of this research community is often focused on player experience and performance with a broad range of off-the-shelf games that have already been released to the public. In order to be able to include any PC game system within research (or audiovideo stream, e.g., YouTube walkthroughs) our approach comprises of a postprocessing method for analyzing player performance. Through exploiting the audiovisual streams that are transmitted to the player, this approach processes content activated and generated during play and is therefore representative of individual player's encounters with specific games. © 2014 IEEE."
344,QA in scripting for games.,ACCEPTED,Quality assurance in scripting,"Most scripting platforms ignore quality assurance issues for multimedia applications. Our authoring paradigm enables formal analysis, which lets developers explore all the different situations possible during the course of a user session and ensure that the needed responses have indeed been included in the script. We successfully analyzed games from a prototype ITV demonstration script."
524,Survey with gamedevs regarding risk management practices. Investigate.,ACCEPTED,Risk management in video game development projects,"The video game software industry has a reputation for volatile, chaotic projects yet, in spite of dramatic growth in global revenues, surprisingly little academic work has examined these projects. This study reports a preliminary investigation into this under-researched area. We interviewed eight video game producers from a range of companies, using a critical incident method to explore risk management practices and risk perceptions. Our results revealed that in lieu of formal risk management practices, these managers relied on prototyping, pre-production decision points, and agile approaches to contain risk on their projects. Among the risk factors mentioned, two are specific to the unique context of video game development. The risk of failing to match the development strategy to the project was identified as a major cause of problems during the development process, and a new risk - the 'fun factor' - was a key element threatening the success of the final game release. © 2014 IEEE."
371,Redesign of a game control. Check testing practices.,ACCEPTED,Simplifying the controls of an interactive movie game,"Eight months before an interactive movie game was due to be shipped, its developers and funders decided that its user interface had to be radically simplified. The author was given the task of designing a new, simpler control scheme. The paper describes the redesign process, the design issues that arose and how they were resolved, the tests that were conducted to evaluate new design ideas, and concludes with an evaluation of the resulting design, lessons learned, and thoughts on user-interface design vs. game design."
378,Software analytics for game development.,ACCEPTED,Software analytics for digital games,"Software and its development generates an inordinate amount of data. Development activities such as check-ins, work items, bug reports, code reviews, and test executions are recorded in software repositories. User interactions that reflect how customers experience software are recorded in telemetry data, run-time traces, and log files and helps to track application and feature usage and expose performance and reliability. Software analytics takes this data and turns it into actionable insight to better inform decisions related to software. In this talk, I will summarize our efforts in the area of software analytics with a special focus on digital games. I will present several examples of games studies, which we have worked on at Microsoft Research such as how players are engaged in Project Gotham Racing, how skill develops over time in Halo Reach and Forza Motor sports, and the initial experience of game play. I will also point out important differences between games development and traditional software development. The work presented in this talk has been done by Nachi Nagappan, myself, and many others who have visited our group over the past years."
379,Challenges in gamedev.,ACCEPTED,Software engineering challenges in game development,"In Software Engineering (SE), video game development is unique yet similar to other software endeavors. It is unique in that it combines the work of teams covering multiple disciplines (art, music, acting, programming, etc.), and that engaging game play is sought after through the use of prototypes and iterations. With that, game development is faced with challenges that can be addressed using traditional SE practices. The industry needs to adopt sound SE practices for their distinct needs such as managing multimedia assets and finding the 'fun' in game play. The industry must take on the challenges by evolving SE methods to meet their needs. This work investigates these challenges and highlights engineering practices to mitigate these challenges. © 2009 IEEE."
385,SE for Gamdev.,ACCEPTED,Software engineering research for computer games: A systematic review systematic review,"Context: Currently, computer game development is one of the fastest growing industries in the worldwide economy. In addition to that, computer games are rapidly evolving in the sense that newer game versions arrive in a very short interval. Thus, software engineering techniques are needed for game development in order to achieve greater flexibility and maintainability, less cost and effort, better design, etc. In addition, games present several characteristics that differentiate their development from classical software development. Objective: This study aims to assess the state of the art on research concerning software engineering for computer games and discuss possible important areas for future research. Method: We employed a standard methodology for systematic literature reviews using four well known digital libraries. Results: Software engineering for computer games is a research domain that has doubled its research activity during the last 5 years. The dominant research topic has proven to be requirements engineering, while topics such as software verification and maintenance have been neglected up to now. Conclusion: The results of the study suggest that software engineering for computer games is a field that embraces many techniques and methods from conventional software engineering and adapts them so as to fit the specific requirements of game development. In addition to that, the study proposes the employment of more elaborate empirical methods, i.e. controlled experiments and case studies, in game software engineering research, which, have not been extensively used up to now. [All rights reserved Elsevier]."
398,Testing model for mobile games.,ACCEPTED,Study of methodology of testing mobile games based on TTCN-3,"Systematic software testing plays a critical role in software development. Various approaches have been proposed and developed, but software testing is still far from maturity. A very promising strategy is model-based testing that is aimed to automatically generate test cases and evaluate test results based on the software models that specify the behavior of the software under test. In this paper, we propose a general rule model for mobile games by combining the features of the game software and the Wireless Application Protocol. We also build an adjusted model for generating test cases with the characteristics of mobile game software. A series of patterns are created to facilitate the generation of TTCN-3 test suite and test case. A case study on the Fruit Machine game is discussed to illustrate the use of the proposed model for software testing."
400,Regarding updates. Investigate a motivation for testing.,ACCEPTED,Studying the urgent updates of popular games on the Steam platform,"The steadily increasing popularity of computer games has led to the rise of a multi-billion dollar industry. This increasing popularity is partly enabled by online digital distribution platforms for games, such as Steam. These platforms offer an insight into the development and test processes of game developers. In particular, we can extract the update cycle of a game and study what makes developers deviate from that cycle by releasing so-called urgent updates. An urgent update is a software update that fixes problems that are deemed critical enough to not be left unfixed until a regular-cycle update. Urgent updates are made in a state of emergency and outside the regular development and test timelines which causes unnecessary stress on the development team. Hence, avoiding the need for an urgent update is important for game developers. We define urgent updates as 0-day updates (updates that are released on the same day), updates that are released faster than the regular cycle, or self-admitted hotfixes. We conduct an empirical study of the urgent updates of the 50 most popular games from Steam, the dominant digital game delivery platform. As urgent updates are reflections of mistakes in the development and test processes, a better understanding of urgent updates can in turn stimulate the improvement of these processes, and eventually save resources for game developers. In this paper, we argue that the update strategy that is chosen by a game developer affects the number of urgent updates that are released. Although the choice of update strategy does not appear to have an impact on the percentage of updates that are released faster than the regular cycle or self-admitted hotfixes, games that use a frequent update strategy tend to have a higher proportion of 0-day updates than games that use a traditional update strategy."
405,A methodology for game development to facilitate the comunication between different roles in the team.,ACCEPTED,Supporting team work in game design: Better - Better team relationships,"Developing a video game is a costly activity, not only from an economic perspective, but also in terms of the time devoted to researching innovative solutions and managing interfaces between the creative and technical team members. In this article, we explore the possibility to use an approach rooted into AI techniques (namely Behaviour Trees) to help establish a lingua franca between these two different functions, in order to optimize both the development time and the quality of the final product. In particular, we have developed BETTER, a middleware which can be easily embedded into any game engine, and tested it during the design and development of Crazy-Hill, a commercial video game for iOS-based mobile devices."
529,Study about game jams. Might (unlike) have something interesting to get here.,ACCEPTED,Synthesized essence: What game jams teach about prototyping of new software products,"The development of video games comprises engineering teams within various disciplines, e.g., software engineering, game production, and creative arts. Game jams are a promising approach for (software+) development projects to foster on new product development. This paper evaluates the concept of game jam, a community design/development activity, and its positive effects on new software product development with tight schedules in time-oriented, competitive environments. Game jams have received more public attention in recent times, but the concept itself has not been formally discussed so far. A game jam is a composition of design and development strategies: new product development, participatory design, lightweight construction, rapid experience prototyping, product-value focusing, aesthetics and technology, concurrent development and multidisciplinarity. Although game jams are normally used for rapid prototyping of small computer games, the constellation of the mentioned elements provides a powerful technique for rapidly prototyping new product ideas and disruptive innovations. © 2010 ACM."
432,SE for Gamdev.,ACCEPTED,The whats and the whys of games and software engineering,"The intersection of video games and software engineering is not yet well understood. This paper highlights the varied and exciting opportunities available at the intersection of these two disciplines. We investigate four main areas: the development of games, how they are designed, how middleware supports the creative process and how games are tested. We hope that it inspires readers to take on the challenges available in games and software engineering, and join together to create a vibrant community. © 2011 ACM."
534,V&V not testing in games. Investigate something interesting.,ACCEPTED,Towards using devs for modelling adaptive storytelling in virtual games,"For the last decades, Verification and Validation techniques have been well improved in order to make safer complex systems. Sophisticated algorithms and methodologies have been proposed in the domain of formal modelling, and simulation. However, like for testing approaches, all these methodologies suffer from a strong weakness, while they depend on specifications, use cases and test scenarios. Indeed, if the experimental frame is not well-defined, modelling and simulation necessarily lack in accuracy. To overcome this challenge, a solution consists of automatically generate validated scenarios during the simulation, by considering the experimental frame also as a simulation model. Because this problem is similar to the adaptation of the stories in virtual worlds, this paper propose to explore a way to model adaptive storytelling in virtual games using the DEVS formalism. © 2018 Society for Modeling & Simulation International (SCS)."
453,Using sensors to understand the players behaviour.,ACCEPTED,"Using eye gaze, head pose, and facial expression for personalized non-player character interaction","True immersion of a user within a game is only possible when the world simulated looks and behaves as close to reality as possible. This implies that the game must ascertain, among other things, the user's focus and his/her attitude towards the object or person focused on. As part of the effort to achieve this goal, we propose an eye gaze, head pose, and facial expression system for use in real-time games. Both the eye gaze and head pose components utilize underlying 3D models, while the expression recognition module uses the effective but efficient LBP-TOP approach. We then demonstrate the utility of this system in a test application wherein the user looks at one of three non-player characters (NPC) and performs one of the 7 prototypic expressions; the NPC responds based on its personality. To increase the speed and efficiency of the system, the eye gaze and expression recognition modules leverage CUDA and GLSL pixel shaders. © 2011 IEEE."
465,SE for Gamdev.,ACCEPTED,"What Concerns Game Developers? A Study on Game Development Processes, Sustainability and Metrics","It can be argued, that software development and game development share a number of features in their process models, such as the need to design, develop and test software functionalities. However, while the software engineering (SE) models work successfully supporting the software development, their practical application for game development is frequently unsuccessful. To understand this problem and number of other aspects such as Green IT and business models, we conducted a survey with the game industry organizations. Based on our observations on the SE practices, the game industry applies mostly the agile process models or nothing at all, their major concerns for business were mobile development, digital marketing, employees with specific abilities and keeping innovation in their business, and their minor concerns were eco-impact elements, software reusability and financing. Based on our results, we identified areas which would warrant more studies to support the game industry practices, eco-aspects and business."
